"Reference","VTPN","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C7,C9,C11","4104-00020-00","22n","~","Capacitor_SMD:C_0402_1005Metric","5",""
"C2,C5,C6,C13,C14,C15,C16,C17,C19,C21,C23,C27,C28,C29,C30","4104-00100-00","100n","~","Capacitor_SMD:C_0402_1005Metric","15",""
"C4,C8,C10,C12","4004-00000-00","DNP","~","Capacitor_SMD:C_0402_1005Metric","4",""
"C18,C20,C22,C24,C25,C26","4112-00100-00","10u","~","Capacitor_SMD:C_1206_3216Metric","6",""
"FID1,FID2,FID3,FID4","4000-00000-00","Fiducial","~","Fiducial:Fiducial_1mm_Mask2mm","4","DNP"
"J1","4408-00010-00","MUAS100-8-C-E","~","Connector_JST:A2501-SR08-XH8AWB","1",""
"J2","4000-00000-00","Bus_PCI_Express_x1_MOD","http://www.ritrontek.com/uploadfile/2016/1026/20161026105231124.pdf#page=63","Connector_PCBEdge:BUS_PCIexpress_x1","1","DNP"
"J15","4000-00000-00","MUAS100-8-C-E","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1","DNP"
"R1,R2","4004-00010-00","1k","~","Resistor_SMD:R_0402_1005Metric","2",""
"R3,R5,R7,R8,R11,R13,R15,R16,R17,R19,R20,R21","4004-00001-00","0","~","Resistor_SMD:R_0402_1005Metric","12",""
"R4,R10,R12,R14","4004-00020-00","100","~","Resistor_SMD:R_0402_1005Metric","4",""
"R6,R9,R18,R22","4004-00100-00","30K","~","Resistor_SMD:R_0402_1005Metric","4",""
"R23,R24,R25,R26","4004-02000-00","137K","~","Resistor_SMD:R_0402_1005Metric","4",""
"TP1","4000-00000-00","Eticheta","~","Symbol:Eticheta","1","DNP"
"U1,U3","4708-00010-00","TLV2186IDSGR","-- mixed values --","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias","2",""
"U2","4706-00030-00","ADE9430","","Package_QFP:ADE9430","1",""
"U4","4520-00030-00","MC7660DR2","http://www.ti.com/lit/ds/symlink/lmc7660.pdf","Package_SO:SO-8_3.9x4.9mm_P1.27mm","1",""
"Y2","4712-00020-00","ECS-5032MV-245.7-BN-TR","","Oscillator:OSC_ECS-5032MV-245.7-BN-TR","1",""
