"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R25,R26,R24,R23";"R_0402_1005Metric";4;"137K";;;
2;"R18,R9,R6,R22,R27";"R_0402_1005Metric";5;"30K";;;
3;"R5,R20,R8,R11,R15,R21,R17,R7,R16,R3,R19,R13";"R_0402_1005Metric";12;"0";;;
4;"C11,C3,C7,C9,C1";"C_0402_1005Metric";5;"22n";;;
5;"C13,C16,C6,C5,C31,C28,C30,C23,C15,C27,C17,C14,C29,C19,C21";"C_0402_1005Metric";15;"100n";;;
6;"FID1,FID4,FID3,FID2";"Fiducial_1mm_Mask2mm";4;"Fiducial";;;
7;"C26,C18,C25,C20,C22,C24";"C_1206_3216Metric";6;"10u";;;
8;"C2";"C_0603_1608Metric";1;"100n";;;
9;"C4,C12,C10,C8";"C_0402_1005Metric";4;"DNP";;;
10;"TP1";"Eticheta";1;"Eticheta";;;
11;"R4,R14,R10,R12";"R_0402_1005Metric";4;"100";;;
12;"U3,U1";"WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias";2;"TLV2186IDSGR";;;
13;"U2";"ADE9430";1;"ADE9430";;;
14;"R2,R1";"R_0402_1005Metric";2;"1k";;;
15;"U99";"Buffer3S";1;"NC7SZ126M5X";;;
16;"Y2";"OSC_ECS-5032MV-245.7-BN-TR";1;"ECS-5032MV-245.7-BN-TR";;;
17;"J1";"A2501-SR08-XH8AWB";1;"MUAS100-8-C-E";;;
18;"J15";"PinHeader_1x08_P2.54mm_Vertical";1;"MUAS100-8-C-E";;;
19;"J2";"BUS_PCIexpress_x1";1;"Bus_PCI_Express_x1_MOD";;;
20;"U4";"SO-8_3.9x4.9mm_P1.27mm";1;"MC7660DR2";;;
