"VTPN","Reference","Value","Datasheet","Footprint","Qty","DNP"
"4104-00020-00","C1,C3,C7,C9,C11","22n","~","Capacitor_SMD:C_0402_1005Metric","5",""
"4112-00100-00","C18,C20,C22,C24,C25,C26","10u","~","Capacitor_SMD:C_1206_3216Metric","6",""
"-- mixed values --","C2,C5,C6,C13,C14,C15,C16,C17,C19,C21,C23,C27,C28,C29,C30","100n","~","-- mixed values --","15",""
"4104-00000-00","C4,C8,C10,C12","DNP","~","Capacitor_SMD:C_0402_1005Metric","4",""
"","FID1,FID2,FID3,FID4","Fiducial","~","Fiducial:Fiducial_1mm_Mask2mm","4",""
"","J2","Bus_PCI_Express_x1_MOD","http://www.ritrontek.com/uploadfile/2016/1026/20161026105231124.pdf#page=63","Connector_PCBEdge:BUS_PCIexpress_x1","1",""
"4408-00010-00","J1,J15","MUAS100-8-C-E","~","-- mixed values --","2",""
"4004-00010-00","R1,R2","1k","~","Resistor_SMD:R_0402_1005Metric","2",""
"4004-02000-00","R23,R24,R25,R26","137K","~","Resistor_SMD:R_0402_1005Metric","4",""
"4004-00001-00","R3,R5,R7,R8,R11,R13,R15,R16,R17,R19,R20,R21","0","~","Resistor_SMD:R_0402_1005Metric","12",""
"4004-00020-00","R4,R10,R12,R14","100","~","Resistor_SMD:R_0402_1005Metric","4",""
"4004-00100-00","R6,R9,R18,R22","30K","~","Resistor_SMD:R_0402_1005Metric","4",""
"","TP1","Eticheta","~","Symbol:Eticheta","1",""
"4706-00030-00","U2","ADE9430","","Package_QFP:ADE9430","1",""
"4520-00030-00","U4","MC7660DR2","http://www.ti.com/lit/ds/symlink/lmc7660.pdf","Package_SO:SO-8_3.9x4.9mm_P1.27mm","1",""
"4708-00010-00","U1,U3","TLV2186IDSGR","-- mixed values --","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias","2",""
"4712-00020-00","Y2","ECS-5032MV-245.7-BN-TR","","Oscillator:OSC_ECS-5032MV-245.7-BN-TR","1",""
